epoch,loss,selection_mode,score,is_best,threshold,accuracy,abnormal_precision,abnormal_recall,abnormal_f1,specificity,npv,tp,tn,fp,fn,triage_direct_tp,triage_uncertain_abnormal,triage_unsafe_fn,triage_direct_fp,triage_uncertain_normal,triage_tn,triage_abnormal_total,triage_normal_total,triage_uncertain_total,triage_abnormal_decisions,triage_normal_decisions,triage_safety_recall,triage_direct_recall,triage_direct_fp_rate,triage_normal_clear_rate,triage_coverage,triage_direct_precision,triage_low_threshold,triage_high_threshold,triage_score,roc_auc,pr_auc,target_recall,max_fn,is_final_best
32,0.7344056696645798,triage_fn_fp,"[1, -1, -1, -92, 0.9375, 0.1164021164021164, 0.6833370710921731, 0.7020353832095715]",False,0.08,0.10582010582010581,0.9375,0.989010989010989,0.6795366795366795,0.05102040816326531,0.8571428571428571,90,5,1,1,15,75,1,1,92,5,91,98,167,16,6,0.989010989010989,0.16483516483516483,0.01020408163265306,0.05102040816326531,0.1164021164021164,0.9375,0.08,0.8400000000000005,"[1, -1, -1, -92, 0.9375, 0.1164021164021164]",0.6833370710921731,0.7020353832095715,0.96,4,False
33,0.7352403198915815,triage_fn_fp,"[1, 0, 0, -96, 1.0, 0.06878306878306878, 0.6504821708903341, 0.6635089959477529]",True,0.06,0.06878306878306878,1.0,1.0,0.676923076923077,0.02040816326530612,0.85,91,2,0,0,11,80,0,0,96,2,91,98,176,11,2,1.0,0.12087912087912088,0.0,0.02040816326530612,0.06878306878306878,1.0,0.06,0.5400000000000003,"[1, 0, 0, -96, 1.0, 0.06878306878306878]",0.6504821708903341,0.6635089959477529,0.96,4,False
34,0.7172261187954555,triage_fn_fp,"[1, -4, -1, -82, 0.8857142857142857, 0.25396825396825395, 0.7108095985647005, 0.7395019979214645]",False,0.06,0.2275132275132275,0.8857142857142857,0.989010989010989,0.6743295019157088,0.12244897959183673,0.8421052631578947,90,12,4,1,31,59,1,4,82,12,91,98,141,35,13,0.989010989010989,0.34065934065934067,0.04081632653061224,0.12244897959183673,0.25396825396825395,0.8857142857142857,0.06,0.8000000000000005,"[1, -4, -1, -82, 0.8857142857142857, 0.25396825396825395]",0.7108095985647005,0.7395019979214645,0.96,4,False
35,0.7213841369227757,triage_fn_fp,"[1, 0, -2, -90, 1.0, 0.12698412698412698, 0.6542946849069298, 0.6733775753717501]",False,0.06,0.1164021164021164,1.0,0.978021978021978,0.6717557251908397,0.08163265306122448,0.8333333333333334,89,8,0,2,14,75,2,0,90,8,91,98,165,14,10,0.978021978021978,0.15384615384615385,0.0,0.08163265306122448,0.12698412698412698,1.0,0.06,0.6000000000000003,"[1, 0, -2, -90, 1.0, 0.12698412698412698]",0.6542946849069298,0.6733775753717501,0.96,4,False
36,0.7218114341062213,triage_fn_fp,"[1, 0, 0, -97, 1.0, 0.07407407407407407, 0.619645660461987, 0.6492305250081662]",False,0.08,0.07407407407407407,1.0,1.0,0.6567164179104478,0.01020408163265306,0.75,91,1,0,0,13,78,0,0,97,1,91,98,175,13,1,1.0,0.14285714285714285,0.0,0.01020408163265306,0.07407407407407407,1.0,0.08,0.8400000000000005,"[1, 0, 0, -97, 1.0, 0.07407407407407407]",0.619645660461987,0.6492305250081662,0.96,4,False
37,0.7157070090373358,triage_fn_fp,"[1, 0, 0, -94, 1.0, 0.10582010582010581, 0.6566494729760036, 0.6756800763902149]",True,0.08,0.10582010582010581,1.0,1.0,0.6692015209125475,0.04081632653061224,0.8235294117647058,91,4,0,0,16,75,0,0,94,4,91,98,169,16,4,1.0,0.17582417582417584,0.0,0.04081632653061224,0.10582010582010581,1.0,0.08,0.6400000000000003,"[1, 0, 0, -94, 1.0, 0.10582010582010581]",0.6566494729760036,0.6756800763902149,0.96,4,False
38,0.7013677316052573,triage_fn_fp,"[1, -15, -1, -76, 0.7, 0.30687830687830686, 0.6813186813186813, 0.7002485801906199]",False,0.12000000000000001,0.2222222222222222,0.7,0.989010989010989,0.6567164179104478,0.07142857142857142,0.75,90,7,15,1,35,55,1,15,76,7,91,98,131,50,8,0.989010989010989,0.38461538461538464,0.15306122448979592,0.07142857142857142,0.30687830687830686,0.7,0.12000000000000001,0.8400000000000005,"[1, -15, -1, -76, 0.7, 0.30687830687830686]",0.6813186813186813,0.7002485801906199,0.96,4,False
39,0.7198059745724239,triage_fn_fp,"[1, 0, 0, -94, 1.0, 0.08465608465608465, 0.6457725947521866, 0.6693229613689851]",False,0.06,0.08465608465608465,1.0,1.0,0.6666666666666666,0.04081632653061224,0.8125,91,4,0,0,12,79,0,0,94,4,91,98,173,12,4,1.0,0.13186813186813187,0.0,0.04081632653061224,0.08465608465608465,1.0,0.06,0.3,"[1, 0, 0, -94, 1.0, 0.08465608465608465]",0.6457725947521866,0.6693229613689851,0.96,4,False
40,0.7009899963935217,triage_fn_fp,"[1, -3, -1, -90, 0.875, 0.15873015873015872, 0.6803094864319355, 0.7066847092156711]",False,0.06,0.13756613756613756,0.875,0.989010989010989,0.6692015209125475,0.05102040816326531,0.8235294117647058,90,5,3,1,21,69,1,3,90,5,91,98,159,24,6,0.989010989010989,0.23076923076923078,0.030612244897959183,0.05102040816326531,0.15873015873015872,0.875,0.06,0.8000000000000005,"[1, -3, -1, -90, 0.875, 0.15873015873015872]",0.6803094864319355,0.7066847092156711,0.96,4,False
41,0.7006533682819397,triage_fn_fp,"[1, 0, -4, -85, 1.0, 0.13227513227513227, 0.6255886970172685, 0.6458935252051807]",False,0.06,0.1111111111111111,1.0,0.9560439560439561,0.6617100371747212,0.1326530612244898,0.8181818181818182,87,13,0,4,8,79,4,0,85,13,91,98,164,8,17,0.9560439560439561,0.08791208791208792,0.0,0.1326530612244898,0.13227513227513227,1.0,0.06,0.7800000000000005,"[1, 0, -4, -85, 1.0, 0.13227513227513227]",0.6255886970172685,0.6458935252051807,0.96,4,False
